Country,Confirmed_2/10/20,Deaths_2/10/20,Confirmed_3/10/20,Deaths_3/10/20,Confirmed_4/10/20,Deaths_4/10/20,IFR_2/10/20,IFR_3/10/20,IFR_4/10/20
US,11,0,959,28,496535,18586,0,2.91970802919708,3.74313995992226
Spain,2,0,1695,35,158273,16081,0,2.06489675516224,10.1602926588869
Italy,3,0,10149,631,147577,18849,0,6.21736131638585,12.7723154692127
France,11,0,1794,33,125931,13215,0,1.83946488294314,10.4938418657836
Germany,14,0,1457,2,122171,2767,0,0.137268359643102,2.26485827242144
China,42354,1012,80887,3139,82941,3340,2.3893847098267,3.88072248939879,4.02695892260764
United Kingdom,8,0,384,6,74605,8974,0,1.5625,12.0286844045305
Iran,0,0,8042,291,68192,4232,,3.61850285998508,6.20600656968559
Turkey,0,0,0,0,47029,1006,,,2.13910565821089
Belgium,1,0,267,0,26667,3019,0,0,11.3211084861439
Switzerland,0,0,491,3,24551,1002,,0.610997963340122,4.08130015070669
Netherlands,0,0,382,4,23249,2520,,1.04712041884817,10.8391758785324
Canada,7,0,79,1,22059,557,0,1.26582278481013,2.52504646629494
Brazil,0,0,31,0,19638,1057,,0,5.38242183521744
Portugal,0,0,41,0,15472,435,,0,2.81153050672182
Austria,0,0,182,0,13555,319,,0,2.35337513832534
Russia,2,0,20,0,11917,94,0,0,0.788789124779726
"Korea, South",27,0,7513,54,10450,208,0,0.718754159456941,1.99043062200957
Israel,0,0,75,0,10408,95,,0,0.912759415833974
Sweden,1,0,355,0,9685,870,0,0,8.98296334537945
